,fips id,State,Sobriety Checkpoints: Intervention Implemented?,Sobriety Checkpoints: Benefit $/year,Sobriety Checkpoints: Cost $/year,Sobriety Checkpoints (Fines Excluded): Benefit $/year,Sobriety Checkpoints (Fines Excluded): Cost $/year,Sobriety Checkpoints: # of Fatalities Reduced,Sobriety Checkpoints: Percent Reduction in Fatalities,Sobriety Checkpoints: # of Injuries Reduced,Sobriety Checkpoints: Percent Reduction in Injuries ,Bicycle Helmet: Intervention Implemented?,Bicycle Helmet: Benefit $/year,Bicycle Helmet: Cost $/year,Bicycle Helmet: (Fines Excluded): Benefit $/year,Bicycle Helmet (Fines Excluded): Cost $/year,Bicycle Helmet: # of Fatalities Reduced,Bicycle Helmet: Percent Reduction in Fatalities,Bicycle Helmet: # of Injuries Reduced,Bicycle Helmet: Percent Reduction in Injuries,Motorcycle Helmet: Intervention Implemented?,Motorcycle Helmet: Benefit $/year,Motorcycle Helmet: Cost $/year,Motorcycle Helmet (Fines Excluded): Benefit $/year,Motorcycle Helmet (Fines Excluded): Cost $/year,Motorcycle Helmet: # of Fatalities Reduced ,Motorcycle Helmet: Percent Reduction in Fatalities ,Motorcycle Helmet: # of Injuries Reduced ,Motorcycle Helmet: Percent Reduction in Injuries,Red Light Camera: Intervention Implemented?,Red Light Camera: Benefit $/year,Red Light Camera: Cost $/year,Red Light Camera (Fines Excluded): Benefit $/year,Red Light Camera (Fines Excluded): Cost $/year,Red Light Camera: # of Fatalities Reduced ,Red Light Camera: Percent Reduction in Fatalities ,Red Light Camera: # of Injuries Reduced ,Red Light Camera: Percent Reduction in Injuries,Speed Camera: Intervention Implemented?,Speed Camera: Benefit $/year,Speed Camera: Cost $/year,Speed Camera (Fines Excluded): Benefit $/year,Speed Camera (Fines Excluded): Cost $/year,Speed Camera: # of Fatalities Reduced ,Speed Camera: Percent Reduction in Fatalities ,Speed Camera: # of Injuries Reduced ,Speed Camera: Percent Reduction in Injuries,Alcohol Interlocks: Intervention Implemented?,Alcohol Interlocks: Benefit $/year,Alcohol Interlocks: Cost $/year,Alcohol Interlocks (Fines Excluded): Benefit $/year,Alcohol Interlocks (Fines Excluded): Cost $/year,Alcohol Interlocks: # of Fatalities Reduced ,Alcohol Interlocks: Percent Reduction in Fatalities ,Alcohol Interlocks: # of Injuries Reduced ,Alcohol Interlocks: Percent Reduction in Injuries,Saturation Patrols: Intervention Implemented?,Saturation Patrols: Benefit $/year,Saturation Patrols: Cost $/year,Saturation Patrols (Fines Excluded): Benefit $/year,Saturation Patrols (Fines Excluded): Cost $/year,Saturation Patrols: # of Fatalities Reduced,Saturation Patrols: Percent Reduction in Fatalities ,Saturation Patrols: # of Injuries Reduced,Saturation Patrols: Percent Reduction in Injuries,Primary Enforcement Seat Belt Law: Intervention Implemented?,Primary Enforcement Seat Belt Law: Benefit $/year,Primary Enforcement Seat Belt Law: Cost $/year, Primary Enforcement Seat Belt Law (Fines Excluded): Benefit $/year,Primary Enforcement Seat Belt Law (Fines Excluded): Cost $/year,Primary Enforcement Seat Belt Law: # of Fatalities Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Fatalities ,Primary Enforcement Seat Belt Law: # of Injuries Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Injuries,License Plate Impound: Intervention Implemented?,License Plate Impound: Benefit $/year,License Plate Impound: Cost $/year, License Plate Impound (Fines Excluded): Benefit $/year,License Plate Impound (Fines Excluded): Cost $/year,License Plate Impound: # of Fatalities Reduced,License Plate Impound: Percent Reduction in Fatalities ,License Plate Impound:  # of Injuries Reduced,License Plate Impound: Percent Reduction in Injuries,Limits on Diversion: Intervention Implemented?,Limits on Diversion: Benefit $/year,Limits on Diversion: Cost $/year,Limits on Diversion (Fines Excluded): Benefit $/year,Limits on Diversion (Fines Excluded): Cost $/year,Limits on Diversion: # of Fatalities Reduced,Limits on Diversion: Percent Reduction in Fatalities ,Limits on Diversion: # of Injuries Reduced,Limits on Diversion: Percent Reduction in Injuries,Seat Belt Enforcement Campaign: Intervention Implemented?,Seat Belt Enforcement Campaign: Benefit $/year,Seat Belt Enforcement Campaign: Cost $/year, Seat Belt Enforcement Campaign (Fines Excluded): Benefit $/year,Seat Belt Enforcement Campaign (Fines Excluded): Cost $/year,Seat Belt Enforcement Campaign: # of Fatalities Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Fatalities ,Seat Belt Enforcement Campaign: # of Injuries Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Injuries,Vehicle Impoundment: Intervention Implemented?,Vehicle Impoundment: Benefit $/year,Vehicle Impoundment: Cost $/year,Vehicle Impoundment (Fines Excluded): Benefit $/year,Vehicle Impoundment (Fines Excluded): Cost $/year,Vehicle Impoundment: # of Fatalities Reduced,Vehicle Impoundment: Percent Reduction in Fatalities ,Vehicle Impoundment: # of Injuries Reduced,Vehicle Impoundment: Percent Reduction in Injuries,In Person Renewal: Intervention Implemented?,In Person Renewal: Benefit $/year,In Person Renewal: Cost $/year,In Person Renewal (Fines Excluded): Benefit $/year,In Person Renewal (Fines Excluded): Cost $/year,In Person Renewal: # of Fatalities Reduced,In Person Renewal: Percent Reduction in Fatalities ,In Person Renewal: # of Injuries Reduced,In Person Renewal: Percent Reduction in Injuries,Increased Seat Belt Fine: Intervention Implemented?,Increased Seat Belt Fine: Benefit $/year,Increased Seat Belt Fine: Cost $/year,Increased Seat Belt Fine (Fines Excluded): Benefit $/year,Increased Seat Belt Fine (Fines Excluded): Cost $/year,Increased Seat Belt Fine: # of Fatalities Reduced,Increased Seat Belt Fine: Percent Reduction in Fatalities ,Increased Seat Belt Fine: # of Injuries Reduced,Increased Seat Belt Fine: Percent Reduction in Injuries
,13,Georgia                                                                                                                                                                                                                                                        ,Yes,71911000,3665000,71911000,6066000,23,2,2098,2,Yes,12647000,519000,12647000,519000,3,0.24,463,0.24,Yes,239298000,1763000,239298000,1858000,37,3,9709,3,Yes,129736000,-6020000,129736000,22075000,43,3,3722,3,No,74504000,-71983000,74504000,27378000,25,2,2102,2,Yes,42013000,124000,42013000,124000,21,2,755,2,No,104448000,6199000,104448000,8146000,52,4,1878,4,Yes,214700000,2990000,214700000,6879000,63,5,6702,5,Yes,47264000,-5103000,47264000,453000,23,2,850,2,No,19256000,6450000,19256000,17885000,10,1,346,1,No,165626000,1847000,165626000,2638000,49,4,5170,4,No,53216000,3774000,53216000,19985000,26,2,957,2,No,53970000,520000,53970000,520000,17,1,1586,1,No,220834000,-3533000,220834000,0,65,5,6893,5
,15,Hawaii                                                                                                                                                                                                                                                         ,Yes,11693000,789000,11693000,1125000,3,3,311,3,Yes,2284000,111000,2284000,111000,0,0.00,77,0.00,No,52737000,459000,52737000,485000,8,7,1988,7,No,6142000,39000,6142000,1044000,2,2,161,2,No,17755000,-2322000,17755000,1234000,6,5,456,5,Yes,5930000,134000,5930000,134000,3,3,96,3,No,17289000,951000,17289000,2056000,8,7,278,7,Yes,14230000,765000,14230000,1310000,4,4,406,4,Yes,6671000,-854000,6671000,201000,3,3,107,3,No,2718000,2244000,2718000,4417000,1,1,44,1,No,10978000,408000,10978000,518000,3,3,314,3,No,7511000,827000,7511000,3906000,3,3,121,3,Yes,3965000,140000,3965000,140000,1,1,106,1,No,14637000,-495000,14637000,0,4,4,418,4
,16,Idaho                                                                                                                                                                                                                                                          ,No,18509000,731000,18509000,1119000,6,3,564,3,No,2701000,126000,2701000,126000,1,0.48,103,0.48,No,50819000,495000,50819000,527000,8,4,2141,4,No,11195000,-2563000,11195000,8453000,4,2,336,2,No,21512000,-28427000,21512000,10532000,8,4,634,4,No,7347000,114000,7347000,114000,4,2,139,2,No,26712000,2289000,26712000,3017000,14,7,505,7,No,36968000,737000,36968000,1365000,11,5,1204,5,No,8265000,-1430000,8265000,203000,4,2,156,2,No,3367000,2141000,3367000,5501000,2,1,64,1,No,28518000,417000,28518000,544000,9,4,929,4,No,9306000,1186000,9306000,5950000,5,2,176,2,Yes,6390000,345000,6390000,345000,2,1,196,1,No,38024000,-571000,38024000,0,12,6,1239,6
,17,Illinois                                                                                                                                                                                                                                                       ,Yes,94564000,7238000,94564000,10385000,28,3,2496,3,No,18340000,634000,18340000,634000,4,0.43,618,0.43,No,266120000,3129000,266120000,3299000,38,4,10015,4,Yes,102463000,-6699000,102463000,25458000,31,3,2657,3,Yes,157661000,-82196000,157661000,31527000,49,5,4015,5,Yes,16402000,131000,16402000,131000,7,1,260,1,No,140680000,10250000,140680000,20187000,62,7,2234,7,Yes,164381000,9683000,164381000,14783000,44,5,4663,5,Yes,18452000,-473000,18452000,172000,8,1,293,1,No,7518000,1599000,7518000,2926000,3,0,119,0,No,126808000,3476000,126808000,4514000,34,4,3597,4,Yes,20776000,555000,20776000,2437000,9,1,330,1,Yes,43033000,578000,43033000,578000,13,1,1145,1,No,169077000,-4633000,169077000,0,45,5,4796,5
,18,Indiana                                                                                                                                                                                                                                                        ,Yes,45952000,2908000,45952000,4502000,15,2,1353,2,No,9024000,348000,9024000,348000,2,0.27,335,0.27,No,206282000,1735000,206282000,1840000,32,4,8486,4,No,103884000,-4589000,103884000,17452000,35,5,3007,5,No,63062000,-56338000,63062000,21612000,22,3,1794,3,No,20193000,119000,20193000,119000,10,1,365,1,No,67056000,4100000,67056000,9831000,33,4,1211,4,Yes,129380000,2613000,129380000,5196000,39,5,4079,5,No,22717000,-3250000,22717000,322000,11,1,410,1,No,9255000,4586000,9255000,11938000,5,1,167,1,No,99807000,1360000,99807000,1885000,30,4,3147,4,No,25578000,2466000,25578000,12887000,13,2,462,2,No,34458000,148000,34458000,148000,11,1,1022,1,No,133077000,-2346000,133077000,0,40,5,4195,5
,19,Iowa                                                                                                                                                                                                                                                           ,No,18331000,1647000,18331000,2396000,6,2,528,2,No,5655000,183000,5655000,183000,1,0.26,206,0.26,No,113339000,1081000,113339000,1174000,17,4,4587,4,No,30411000,-6350000,30411000,19982000,10,3,861,3,No,21728000,-68173000,21728000,24951000,7,2,605,2,No,19754000,118000,19754000,118000,10,3,347,3,No,26888000,6253000,26888000,9699000,13,3,473,3,Yes,70350000,1492000,70350000,2706000,21,5,2172,5,Yes,22223000,-1880000,22223000,239000,11,3,391,3,No,9054000,4709000,9054000,9070000,4,1,159,1,No,54270000,738000,54270000,985000,16,4,1676,4,Yes,25022000,1511000,25022000,7692000,12,3,440,3,No,15774000,412000,15774000,412000,5,1,458,1,No,72360000,-1102000,72360000,0,21,5,2234,5
,20,Kansas                                                                                                                                                                                                                                                         ,Yes,51545000,1230000,51545000,1932000,16,4,1447,4,No,722000,182000,722000,182000,0,0.00,26,0.00,No,77045000,725000,77045000,768000,12,3,3058,3,No,39159000,-7959000,39159000,24455000,13,3,1080,3,No,35846000,-84061000,35846000,30572000,12,3,971,3,Yes,7141000,116000,7141000,116000,3,1,122,1,No,76081000,5115000,76081000,12319000,36,8,1295,8,Yes,91009000,1116000,91009000,2254000,26,6,2741,6,Yes,8033000,-1814000,8033000,230000,4,1,137,1,Yes,3273000,2687000,3273000,6894000,2,0,56,0,No,70207000,643000,70207000,875000,20,5,2115,5,Yes,9045000,1459000,9045000,7423000,4,1,154,1,Yes,23414000,680000,23414000,680000,7,2,662,2,No,93609000,-1034000,93609000,0,27,6,2820,6
,21,Kentucky                                                                                                                                                                                                                                                       ,Yes,52498000,1714000,52498000,2783000,18,2,1599,2,No,4735000,239000,4735000,239000,1,0.13,180,0.13,No,174614000,827000,174614000,860000,28,4,7339,4,No,101831000,-4070000,101831000,14084000,36,5,3051,5,No,50803000,-46691000,50803000,17510000,18,2,1497,2,No,43617000,115000,43617000,115000,23,3,825,3,No,75677000,3810000,75677000,5335000,40,5,1431,5,Yes,133749000,1419000,133749000,3151000,41,5,4352,5,Yes,49069000,-3753000,49069000,341000,26,3,928,3,Yes,19991000,5145000,19991000,13571000,10,1,378,1,No,103178000,880000,103178000,1232000,32,4,3357,4,No,55248000,2805000,55248000,14750000,29,4,1045,4,Yes,25055000,962000,25055000,962000,8,1,769,1,No,137570000,-1573000,137570000,0,42,6,4477,6
,22,Louisiana                                                                                                                                                                                                                                                      ,Yes,58468000,1913000,58468000,3032000,19,3,1686,3,Yes,7075000,256000,7075000,256000,2,0.28,257,0.28,Yes,134335000,856000,134335000,891000,21,3,5428,3,Yes,124639000,-2982000,124639000,11102000,41,6,3532,6,Yes,81852000,-36047000,81852000,13760000,28,4,2280,4,Yes,23143000,113000,23143000,113000,11,2,408,2,No,85570000,3242000,85570000,4345000,42,6,1509,6,Yes,129896000,1391000,129896000,3204000,38,5,4012,5,No,26036000,-903000,26036000,172000,13,2,459,2,No,10607000,1646000,10607000,3859000,5,1,187,1,No,100205000,894000,100205000,1263000,29,4,3095,4,No,29315000,819000,29315000,3956000,14,2,517,2,Yes,17171000,1079000,17171000,1079000,5,1,499,1,No,133607000,-1647000,133607000,0,39,5,4127,5
,23,Maine                                                                                                                                                                                                                                                          ,Yes,11486000,646000,11486000,971000,4,2,333,2,Yes,708000,98000,708000,98000,0,0.00,26,0.00,No,36062000,445000,36062000,473000,5,3,1453,3,No,17419000,-1064000,17419000,4199000,6,4,496,4,No,29019000,-13419000,29019000,5192000,10,6,813,6,No,8264000,119000,8264000,119000,4,2,148,2,No,16679000,931000,16679000,2706000,8,5,298,5,Yes,30513000,529000,30513000,1055000,9,6,946,6,Yes,9297000,-856000,9297000,178000,5,3,166,3,No,3788000,1443000,3788000,3572000,2,1,68,1,No,23539000,355000,23539000,462000,7,4,730,4,Yes,10468000,799000,10468000,3815000,5,3,187,3,No,7564000,369000,7564000,369000,2,1,221,1,No,31385000,-478000,31385000,0,9,6,973,6
